rank,name,nation,startnr,total,tech,pcs,deductions,competition,element,call,base_value,goe,Judge No.1,Judge No.2,Judge No.3,Judge No.4,Judge No.5,Judge No.6,Judge No.7,Judge No.8,final_element_score
14,Nikita STAROSTIN,GER,11,72.12,37.73,34.39,0.0,ec2022SEG001OF,3Lz,None,5.9,0.34,-1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,6.24
14,Nikita STAROSTIN,GER,11,72.12,37.73,34.39,0.0,ec2022SEG001OF,CCSp4,None,3.2,0.59,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.79
14,Nikita STAROSTIN,GER,11,72.12,37.73,34.39,0.0,ec2022SEG001OF,FSSp4,None,3.0,0.34,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.34
14,Nikita STAROSTIN,GER,11,72.12,37.73,34.39,0.0,ec2022SEG001OF,3F!+2T,"('!', 'x')",7.26,-0.91,-2.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,6.35
14,Nikita STAROSTIN,GER,11,72.12,37.73,34.39,0.0,ec2022SEG001OF,StSq4,None,3.9,0.78,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.68
14,Nikita STAROSTIN,GER,11,72.12,37.73,34.39,0.0,ec2022SEG001OF,CCoSp4,None,3.5,0.8,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,4.3
15,Michal BREZINA,CZE,24,71.6,34.49,39.11,-2.0,ec2022SEG001OF,4Sq,q,9.7,-4.85,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,4.85
15,Michal BREZINA,CZE,24,71.6,34.49,39.11,-2.0,ec2022SEG001OF,3F+3T,None,9.5,-0.68,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,-1.0,8.82
15,Michal BREZINA,CZE,24,71.6,34.49,39.11,-2.0,ec2022SEG001OF,3A,x,8.8,-4.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,4.8
15,Michal BREZINA,CZE,24,71.6,34.49,39.11,-2.0,ec2022SEG001OF,FSSp4,None,3.0,0.77,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.77
15,Michal BREZINA,CZE,24,71.6,34.49,39.11,-2.0,ec2022SEG001OF,StSq4,None,3.9,1.17,2.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,5.07
15,Michal BREZINA,CZE,24,71.6,34.49,39.11,-2.0,ec2022SEG001OF,CCSp4,None,3.2,0.87,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.07
